offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
0-5nm,7267,0.08,-3.47,3.7,4.86,4.87,3.71
10-20nm,4165,-0.36,-3.79,2.86,5.48,5.66,6.2
20-40nm,7962,-0.3,-3.35,3.01,5.58,5.65,6.49
40nm+,11575,-0.29,-3.04,2.94,5.57,5.61,6.03
5-10nm,3366,-0.07,-3.77,3.59,5.03,5.18,5.05
