coast_window,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
near_coast_afternoon,2458,0.15,-2.78,3.7,6.22,6.05,7.07
near_coast_night,2624,-0.07,-3.77,3.69,4.82,5.05,4.12
offshore_afternoon,3311,-0.26,-2.79,2.87,6.11,5.76,6.75
offshore_night,4921,-0.15,-3.2,3.09,6.1,5.99,7.8
other,7750,-0.21,-3.26,3.04,5.76,5.62,6.61
