tws_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
0-6kt,48643,0.04,-3.33,3.37,4.37,4.73,3.63
12-20kt,13479,-0.94,-3.4,2.56,6.71,7.96,14.26
20kt+,779,-2.66,-4.41,0.4,7.83,10.78,21.58
6-12kt,32733,-0.2,-3.09,3.03,6.14,6.71,8.07
