offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
0-5nm,7887,0.17,-2.63,3.6,5.79,5.76,6.61
10-20nm,5204,0.53,-2.1,3.37,6.5,5.83,6.71
20-40nm,3636,-0.33,-2.8,2.61,5.61,5.63,5.88
40nm+,6034,-0.24,-2.73,2.24,5.07,5.57,5.14
5-10nm,3327,0.54,-2.08,3.26,6.49,6.21,7.15
