coast_window,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
near_coast_afternoon,11214,0.08,-2.86,3.61,6.0,5.9,6.81
near_coast_other,23917,-0.24,-3.75,3.49,4.87,5.11,4.97
offshore_afternoon,14874,-0.21,-2.97,3.1,5.72,5.65,5.76
offshore_other,45629,-0.29,-3.25,2.88,5.6,5.66,6.1
