offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
0-5nm,6003,-0.24,-3.74,3.51,5.13,5.34,5.57
10-20nm,3145,0.06,-3.08,3.22,5.95,5.6,6.2
20-40nm,4346,-0.46,-3.27,3.0,5.85,5.71,6.59
40nm+,5401,-0.02,-2.55,2.74,6.38,6.33,9.04
5-10nm,2169,0.13,-3.16,3.55,5.9,5.59,6.3
