offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
0-5nm,1933,-0.09,-3.79,3.79,4.75,4.94,3.58
10-20nm,821,-0.43,-4.04,3.1,5.75,5.87,6.47
20-40nm,1881,-0.46,-3.59,2.95,5.72,5.84,7.19
40nm+,2219,0.21,-2.48,3.18,6.37,6.21,8.85
5-10nm,691,-0.03,-3.73,3.32,4.99,5.28,4.86
