offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
0-5nm,24745,-0.15,-3.57,3.58,5.18,5.3,5.61
10-20nm,14050,-0.12,-3.25,3.24,5.83,5.67,6.31
20-40nm,18974,-0.29,-3.26,3.11,5.73,5.69,6.18
40nm+,27479,-0.31,-3.07,2.61,5.46,5.62,5.83
5-10nm,10386,-0.04,-3.34,3.4,5.56,5.5,6.1
