coast_window,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
near_coast_afternoon,11214,0.08,-2.86,3.61,6.0,5.9,6.81
near_coast_night,10633,0.03,-3.55,3.67,4.91,4.98,4.26
offshore_afternoon,14874,-0.21,-2.97,3.1,5.72,5.65,5.76
offshore_night,23702,-0.3,-3.28,2.95,5.56,5.63,6.22
other,35211,-0.33,-3.47,3.01,5.34,5.56,5.8
